ID,Representativt dygn,År siffra,Månad siffra,Dag siffra,Nederbördsmängd
0,1995-09-01,1995,9,1,0.3
1,1995-09-02,1995,9,2,1.3
2,1995-09-03,1995,9,3,7.3
3,1995-09-04,1995,9,4,1.6
4,1995-09-05,1995,9,5,5.9
5,1995-09-06,1995,9,6,0.0
6,1995-09-07,1995,9,7,0.6
7,1995-09-08,1995,9,8,0.0
8,1995-09-09,1995,9,9,0.0
9,1995-09-10,1995,9,10,5.6
10,1995-09-11,1995,9,11,3.5
11,1995-09-12,1995,9,12,4.8
12,1995-09-13,1995,9,13,0.0
13,1995-09-14,1995,9,14,25.4
14,1995-09-15,1995,9,15,1.4
15,1995-09-16,1995,9,16,17.1
16,1995-09-17,1995,9,17,0.0
17,1995-09-18,1995,9,18,0.0
18,1995-09-19,1995,9,19,0.0
19,1995-09-20,1995,9,20,0.0
20,1995-09-21,1995,9,21,0.0
21,1995-09-22,1995,9,22,0.0
22,1995-09-23,1995,9,23,0.0
23,1995-09-24,1995,9,24,0.0
24,1995-09-25,1995,9,25,4.5
25,1995-09-26,1995,9,26,0.0
26,1995-09-27,1995,9,27,12.4
27,1995-09-28,1995,9,28,3.6
28,1995-09-29,1995,9,29,0.2
29,1995-09-30,1995,9,30,0.0
30,1995-10-01,1995,10,1,0.3
31,1995-10-02,1995,10,2,0.3
32,1995-10-03,1995,10,3,0.1
33,1995-10-04,1995,10,4,0.1
34,1995-10-05,1995,10,5,25.5
35,1995-10-06,1995,10,6,0.1
36,1995-10-07,1995,10,7,7.9
37,1995-10-08,1995,10,8,0.0
38,1995-10-09,1995,10,9,0.0
39,1995-10-10,1995,10,10,0.2
40,1995-10-11,1995,10,11,0.0
41,1995-10-12,1995,10,12,0.2
42,1995-10-13,1995,10,13,0.0
43,1995-10-14,1995,10,14,0.4
44,1995-10-15,1995,10,15,0.1
45,1995-10-16,1995,10,16,0.0
46,1995-10-17,1995,10,17,9.5
47,1995-10-18,1995,10,18,0.6
48,1995-10-19,1995,10,19,0.1
49,1995-10-20,1995,10,20,0.1
50,1995-10-21,1995,10,21,0.1
51,1995-10-22,1995,10,22,0.0
52,1995-10-23,1995,10,23,0.0
53,1995-10-24,1995,10,24,0.0
54,1995-10-25,1995,10,25,1.9
55,1995-10-26,1995,10,26,8.6
56,1995-10-27,1995,10,27,14.2
57,1995-10-28,1995,10,28,0.1
58,1995-10-29,1995,10,29,0.0
59,1995-10-30,1995,10,30,4.0
60,1995-10-31,1995,10,31,8.8
61,1995-11-01,1995,11,1,0.2
62,1995-11-02,1995,11,2,0.8
63,1995-11-03,1995,11,3,0.4
64,1995-11-04,1995,11,4,0.1
65,1995-11-05,1995,11,5,0.0
66,1995-11-06,1995,11,6,0.0
67,1995-11-07,1995,11,7,0.0
68,1995-11-08,1995,11,8,0.5
69,1995-11-09,1995,11,9,0.1
70,1995-11-10,1995,11,10,0.0
71,1995-11-11,1995,11,11,0.0
72,1995-11-12,1995,11,12,0.0
73,1995-11-13,1995,11,13,0.0
74,1995-11-14,1995,11,14,8.6
75,1995-11-15,1995,11,15,22.0
76,1995-11-16,1995,11,16,10.7
77,1995-11-17,1995,11,17,3.0
78,1995-11-18,1995,11,18,1.2
79,1995-11-19,1995,11,19,0.0
80,1995-11-20,1995,11,20,0.0
81,1995-11-21,1995,11,21,0.0
82,1995-11-22,1995,11,22,4.0
83,1995-11-23,1995,11,23,2.6
84,1995-11-24,1995,11,24,0.4
85,1995-11-25,1995,11,25,0.1
86,1995-11-26,1995,11,26,0.1
